магазин,дата парсинга,наименование,цена
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные 365 ДНЕЙ 10%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сладкосливочное ЛЕНТА 82,5% высший сорт, без змж","189,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог СЕЛО ЗЕЛЕНОЕ обезжиренный, без змж","219,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное СИНЯВИНСКОЕ С1 столовое,"304,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт термостатный ПРОСТОКВАШИНО с персиком 3,4%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ACTIVE LIFE Йогуртная заправка 2,8%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток ЭКОНАД на основе молочной сыворотки с натуральным экстрактом липы, среднегазированный","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сладкосливочное ЭКОМИЛК Традиционное 82,5%, высший сорт, без змж","329,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный DELISSE с вареной сгущенкой и печеньем 26%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное СВЕЖЕЕ ЗАВТРА 2,5%, без змж","64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное 365 ДНЕЙ 2,5%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток безалкогольный ЭКОНАД Стройность, на молочной сыворотке с натуральным экстрактом Саган Дайля","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ДОМИК В ДЕРЕВНЕ 3,2%, без змж","104,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ДАНИССИМО Фантазия Хрустящие шарики со вкусом шоколада и клубники 6,9%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир МЗ ПИСКАРЕВСКИЙ 2,5%, без змж","57,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA Very Berry с персиком 2,6%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой EPICA с клубникой и маракуйей 2,5%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт EPICA с персиком и маракуйей 4,8%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир ЖИВОЙ ПРОДУКТ обогащенный витаминами и минералами, с асептическим розливом 2,5%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Маргарин СЛИВОЧНИК Сливочный 30%,"53,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное ПРОСТОКВАШИНО 72,5%, без змж","169,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт питьевой АКТИБИО Клубника, земляника 1,5%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт питьевой АКТИБИО Злаки 1,6%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ВКУСНОТЕЕВО 9%, без змж","329,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки для взбивания КЛЕВЕР 35%, без змж","269,99"
